Date	Date (UTC)	Month	Day	Hour (UTC)	wetweight_g
12.87	1/13/13	1	13	21	5.45E-06
12.92	1/13/13	1	13	22	5.49E-06
12.96	1/13/13	1	13	23	5.53E-06
13	1/14/13	1	14	0	5.58E-06
13.04	1/14/13	1	14	1	5.62E-06
13.08	1/14/13	1	14	2	5.67E-06
13.12	1/14/13	1	14	3	5.72E-06
13.17	1/14/13	1	14	4	5.76E-06
13.21	1/14/13	1	14	5	5.81E-06
13.25	1/14/13	1	14	6	5.86E-06
13.29	1/14/13	1	14	7	5.90E-06
13.33	1/14/13	1	14	8	5.95E-06
13.37	1/14/13	1	14	9	6.00E-06
13.42	1/14/13	1	14	10	6.05E-06
13.46	1/14/13	1	14	11	6.09E-06
13.5	1/14/13	1	14	12	6.14E-06
13.54	1/14/13	1	14	13	6.19E-06
13.58	1/14/13	1	14	14	6.24E-06
13.62	1/14/13	1	14	15	6.29E-06
13.67	1/14/13	1	14	16	6.34E-06
13.71	1/14/13	1	14	17	6.39E-06
13.75	1/14/13	1	14	18	6.44E-06
13.79	1/14/13	1	14	19	6.49E-06
13.83	1/14/13	1	14	20	6.54E-06
13.87	1/14/13	1	14	21	6.59E-06
13.92	1/14/13	1	14	22	6.65E-06
13.96	1/14/13	1	14	23	6.70E-06
14	1/15/13	1	15	0	6.75E-06
14.04	1/15/13	1	15	1	6.80E-06
14.08	1/15/13	1	15	2	6.85E-06
14.12	1/15/13	1	15	3	6.91E-06
14.17	1/15/13	1	15	4	6.96E-06
14.21	1/15/13	1	15	5	7.01E-06
14.25	1/15/13	1	15	6	7.07E-06
14.29	1/15/13	1	15	7	7.12E-06
14.33	1/15/13	1	15	8	7.18E-06
14.37	1/15/13	1	15	9	7.23E-06
14.42	1/15/13	1	15	10	7.29E-06
14.46	1/15/13	1	15	11	7.34E-06
14.5	1/15/13	1	15	12	7.40E-06
14.54	1/15/13	1	15	13	7.45E-06
14.58	1/15/13	1	15	14	7.51E-06
14.62	1/15/13	1	15	15	7.56E-06
14.67	1/15/13	1	15	16	7.62E-06
14.71	1/15/13	1	15	17	7.68E-06
14.75	1/15/13	1	15	18	7.73E-06
14.79	1/15/13	1	15	19	7.79E-06
14.83	1/15/13	1	15	20	7.85E-06
14.87	1/15/13	1	15	21	7.91E-06
