Date	Date (UTC)	Month	Day	Hour (UTC)	shell_length (cm)
22.25	1/23/13	1	23	6	0.087643772
22.29	1/23/13	1	23	7	0.087794555
22.33	1/23/13	1	23	8	0.08794538
22.37	1/23/13	1	23	9	0.088096247
22.42	1/23/13	1	23	10	0.088247156
22.46	1/23/13	1	23	11	0.088398105
22.5	1/23/13	1	23	12	0.088549094
22.54	1/23/13	1	23	13	0.088700123
22.58	1/23/13	1	23	14	0.08885119
22.62	1/23/13	1	23	15	0.089002296
22.67	1/23/13	1	23	16	0.089153439
22.71	1/23/13	1	23	17	0.08930462
22.75	1/23/13	1	23	18	0.089455837
22.79	1/23/13	1	23	19	0.08960709
22.83	1/23/13	1	23	20	0.089758379
22.87	1/23/13	1	23	21	0.089909726
22.92	1/23/13	1	23	22	0.090061139
22.96	1/23/13	1	23	23	0.090212616
23	1/24/13	1	24	0	0.090364154
23.04	1/24/13	1	24	1	0.090515751
23.08	1/24/13	1	24	2	0.090667405
23.12	1/24/13	1	24	3	0.090819113
23.17	1/24/13	1	24	4	0.090970873
23.21	1/24/13	1	24	5	0.091122684
23.25	1/24/13	1	24	6	0.091274542
23.29	1/24/13	1	24	7	0.091426445
23.33	1/24/13	1	24	8	0.091578393
23.37	1/24/13	1	24	9	0.091730382
23.42	1/24/13	1	24	10	0.09188241
23.46	1/24/13	1	24	11	0.092034477
23.5	1/24/13	1	24	12	0.092186579
23.54	1/24/13	1	24	13	0.092338715
23.58	1/24/13	1	24	14	0.092490884
23.62	1/24/13	1	24	15	0.092643084
23.67	1/24/13	1	24	16	0.092795312
23.71	1/24/13	1	24	17	0.092947568
23.75	1/24/13	1	24	18	0.093099849
23.79	1/24/13	1	24	19	0.093252154
23.83	1/24/13	1	24	20	0.093404483
23.87	1/24/13	1	24	21	0.093556832
23.92	1/24/13	1	24	22	0.0937092
23.96	1/24/13	1	24	23	0.093861588
24	1/25/13	1	25	0	0.094013992
24.04	1/25/13	1	25	1	0.094166411
24.08	1/25/13	1	25	2	0.094318845
24.12	1/25/13	1	25	3	0.094471292
24.17	1/25/13	1	25	4	0.094623751
24.21	1/25/13	1	25	5	0.09477622
24.25	1/25/13	1	25	6	0.094928699
24.29	1/25/13	1	25	7	0.095081186
24.33	1/25/13	1	25	8	0.09523368
24.37	1/25/13	1	25	9	0.095386181
24.42	1/25/13	1	25	10	0.095538687
24.46	1/25/13	1	25	11	0.095691197
24.5	1/25/13	1	25	12	0.09584371
24.54	1/25/13	1	25	13	0.095996226
24.58	1/25/13	1	25	14	0.096148743
24.62	1/25/13	1	25	15	0.096301261
24.67	1/25/13	1	25	16	0.096453779
24.71	1/25/13	1	25	17	0.096606295
24.75	1/25/13	1	25	18	0.09675881
24.79	1/25/13	1	25	19	0.096911323
24.83	1/25/13	1	25	20	0.097063832
24.87	1/25/13	1	25	21	0.097216337
24.92	1/25/13	1	25	22	0.097368838
24.96	1/25/13	1	25	23	0.097521333
25	1/26/13	1	26	0	0.097673823
25.04	1/26/13	1	26	1	0.097826306
25.08	1/26/13	1	26	2	0.097978783
25.12	1/26/13	1	26	3	0.098131252
25.17	1/26/13	1	26	4	0.098283713
25.21	1/26/13	1	26	5	0.098436166
25.25	1/26/13	1	26	6	0.09858861
25.29	1/26/13	1	26	7	0.098741044
25.33	1/26/13	1	26	8	0.098893469
25.37	1/26/13	1	26	9	0.099045884
25.42	1/26/13	1	26	10	0.099198289
25.46	1/26/13	1	26	11	0.099350683
25.5	1/26/13	1	26	12	0.099503066
25.54	1/26/13	1	26	13	0.099655437
25.58	1/26/13	1	26	14	0.099807797
25.62	1/26/13	1	26	15	0.099960145
25.67	1/26/13	1	26	16	0.100112482
25.71	1/26/13	1	26	17	0.100264806
25.75	1/26/13	1	26	18	0.100417117
25.79	1/26/13	1	26	19	0.100569416
25.83	1/26/13	1	26	20	0.100721702
25.87	1/26/13	1	26	21	0.100873976
25.92	1/26/13	1	26	22	0.101026237
25.96	1/26/13	1	26	23	0.101178484
26	1/27/13	1	27	0	0.101330719
26.04	1/27/13	1	27	1	0.10148294
26.08	1/27/13	1	27	2	0.101635149
26.12	1/27/13	1	27	3	0.101787344
26.17	1/27/13	1	27	4	0.101939526
26.21	1/27/13	1	27	5	0.102091695
26.25	1/27/13	1	27	6	0.102243851
26.29	1/27/13	1	27	7	0.102395994
